,Method,Parameter,Signal_id,Repetition,-5,0,10,20,30
1440,brevdo_method,"((), {})",HermiteFunction,0,2.5033361602191495,3.5124961998409403,2.5518690159312394,2.177110221065071,2.1740802238434567
1441,brevdo_method,"((), {})",HermiteFunction,1,1.9429382558086545,2.810358768081383,2.3220279310533543,2.1747734637830747,2.172206962392162
1442,brevdo_method,"((), {})",HermiteFunction,2,0.6503673862834161,1.7223839809825725,1.9996681801123275,1.9990969921472992,2.1762530198557966
1443,brevdo_method,"((), {})",HermiteFunction,3,0.860730122999944,1.911547351011361,2.2204514901181565,1.9874528555483546,2.0034102047242026
1444,brevdo_method,"((), {})",HermiteFunction,4,0.7161508424455493,1.6288460917904521,2.7314100007341584,1.9695217892402015,2.1906022915098933
1445,brevdo_method,"((), {})",HermiteFunction,5,1.1792211791411704,1.663820517600196,2.3262284314572867,2.1730190298089607,2.1867336845570513
1446,brevdo_method,"((), {})",HermiteFunction,6,1.1137964849344244,2.3005199940051644,2.062282511097987,2.0053555933678773,2.015507565178068
1447,brevdo_method,"((), {})",HermiteFunction,7,1.7992529780738207,2.428955806065223,2.4141224194309796,2.000499792003226,2.0005719514814526
1448,brevdo_method,"((), {})",HermiteFunction,8,1.6834333534234203,2.432021782502741,2.680132498071468,2.1782418015091705,2.18793469820725
1449,brevdo_method,"((), {})",HermiteFunction,9,1.1790428008472933,1.833858520637369,3.1474200988097447,2.2028796303131113,2.01366849973582
1450,brevdo_method,"((), {})",HermiteFunction,10,0.7797120062340235,1.774555916500036,1.98718412875782,2.004083037616977,2.1849236627705695
1451,brevdo_method,"((), {})",HermiteFunction,11,0.9279524691473179,1.689234094233449,2.042550449578746,2.4693389868978675,2.167422303203354
1452,brevdo_method,"((), {})",HermiteFunction,12,0.9970163180849545,2.0208637160045826,2.4738385436400483,2.1744531777207317,2.186945051845495
1453,brevdo_method,"((), {})",HermiteFunction,13,1.1676445599910095,1.7900773492598945,2.3138391018416633,2.004368137101297,2.0009858428477183
1454,brevdo_method,"((), {})",HermiteFunction,14,1.36166120114492,1.7770785736648766,2.08221931391309,2.1674742828273277,2.1915313543020276
1455,brevdo_method,"((), {})",HermiteFunction,15,1.9129493939985165,2.6507837592694155,2.3068994579230218,2.368299675708767,2.179081245203927
1456,brevdo_method,"((), {})",HermiteFunction,16,1.7567938872511721,3.2097971256563356,3.149828405635797,2.3691042947685457,2.1676535365590692
1457,brevdo_method,"((), {})",HermiteFunction,17,1.0477762508722408,2.2173502031546537,2.2982362617789733,1.8898527881155112,2.0085774179165843
1458,brevdo_method,"((), {})",HermiteFunction,18,0.2059137421293279,1.3694527316402985,2.5433272638501063,2.004417174497888,2.164638945403995
1459,brevdo_method,"((), {})",HermiteFunction,19,1.9772488507787103,3.418051040770677,3.3794760703449422,2.689782372135794,2.0148792390639745
1460,brevdo_method,"((), {})",HermiteFunction,20,0.9766452381552791,1.846996909133011,1.9829231552097828,2.002881139047662,2.185470799439043
1461,brevdo_method,"((), {})",HermiteFunction,21,1.1912436480804183,2.6426975809199273,2.4441927965259875,2.0006658052551978,2.178475627830467
1462,brevdo_method,"((), {})",HermiteFunction,22,1.8263563743690978,2.5977208101449376,1.9839994334433453,2.005917614173137,2.001780443584591
1463,brevdo_method,"((), {})",HermiteFunction,23,1.1449335075916973,1.9646472731972042,2.1180060661691407,2.139161727967008,2.0119078148586365
1464,brevdo_method,"((), {})",HermiteFunction,24,1.8745773384900957,2.2697234009102054,1.760293895585834,2.198395208362877,2.186246266263051
